h,file_mtime_utc,log_posterior_max,n_detections
0.6,2026-04-24T09:44:33Z,154.3199309863862,60
0.61,2026-04-24T09:45:26Z,157.4381870039021,60
0.62,2026-04-24T09:45:41Z,160.04620398495132,60
0.63,2026-04-24T09:46:06Z,160.44921261646968,60
0.64,2026-04-24T09:46:20Z,161.42022564904443,60
0.65,2026-04-24T09:46:35Z,145.02581481565994,60
0.66,2026-04-24T09:46:50Z,151.11433416231222,60
0.67,2026-04-24T09:47:15Z,152.7204190660777,60
0.68,2026-04-24T09:47:30Z,155.14975718062846,60
0.685,2026-04-24T09:52:05Z,157.17576586986124,60
0.69,2026-04-24T09:47:45Z,157.86634880365,60
0.695,2026-04-24T09:52:19Z,157.30339544193856,60
0.7,2026-04-24T09:44:56Z,158.36430563555834,60
0.705,2026-04-24T09:52:34Z,158.53606582143496,60
0.71,2026-04-24T09:47:59Z,151.41628962588058,60
0.715,2026-04-24T09:52:59Z,146.2546518596922,60
0.72,2026-04-24T09:48:23Z,150.8711647733696,60
0.725,2026-04-24T09:53:14Z,155.6011854731318,60
0.73,2026-04-23T17:41:14Z,159.00990441591662,60
0.735,2026-04-24T09:53:29Z,158.2576876034804,60
0.74,2026-04-24T09:48:38Z,162.75790335860125,60
0.745,2026-04-24T09:53:43Z,158.49370393758028,60
0.75,2026-04-24T09:48:53Z,163.6943562344208,60
0.755,2026-04-24T09:54:08Z,166.92024450005547,60
0.76,2026-04-24T09:49:08Z,161.8727714401292,60
0.765,2026-04-24T09:54:23Z,167.78353191700066,60
0.77,2026-04-24T09:49:33Z,171.41180831290612,60
0.775,2026-04-24T09:54:38Z,173.77654832805698,60
0.78,2026-04-24T09:49:48Z,175.87640552637282,60
0.785,2026-04-24T09:54:52Z,177.3752101108217,60
0.79,2026-04-24T09:50:03Z,178.4294742826343,60
0.8,2026-04-24T09:45:11Z,187.65218484223018,60
0.81,2026-04-24T09:50:18Z,182.29259003563368,60
0.82,2026-04-24T09:50:41Z,188.0598776236581,60
0.83,2026-04-24T09:50:56Z,188.06605376453163,60
0.84,2026-04-24T09:51:11Z,193.65494837008413,60
0.85,2026-04-24T09:51:25Z,197.03661245284349,60
0.86,2026-04-24T09:51:50Z,199.32010616025127,60
